State,program,ID,.,var,;,:,INTEGER_TYPE,BOOLEAN_TYPE,begin,end,:=,read,write,if,then,else,while,do,+,-,*,INTEGER_LIT,TRUE,FALSE,>,>=,=,<=,<,$,PROGRAM,BLOCK,VAR_DEC_SEC,VAR_DEC_SEC`,VAR_DEC,VAR_DEC`,TYPE,COMPOUND_STATEMENT,STMT`,STMT,SIMP_STMT,ASSIGN_STMT,READ_STMT,WRITE_STMT,STR_STMT,IF_STMT,WHILE_STMT,EXPR,ARITH_EXPR,TERM,FACTOR,LIT,BOOLEAN_LIT,BOOL_EXPR
21,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,s33,,,,,,,,,,,,,,,,,,,,s35,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,36,
23,,s44,,,,,,,,,,,,,,,,,,,,s45,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,,41,42,43,,40,39
24,,s44,,,,,,,,,,,,,,,,,,,,s45,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,,41,42,43,,40,46
25,,,,,s47,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,r4,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,s49,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,r7,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,r11,,r11,,,,,r11,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,s20,,,,,,,s6,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,19,,50,12,14,15,16,13,17,18,,,,,,,
31,,s44,,,,,,,,,,,,,,,,,,,,s45,s37,s38,,,,,,,,,,,,,,,,,,,,,,,,51,52,42,43,,40,53
32,,,,,r20,,,,,r20,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,r21,,,,,r21,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,r22,,,,,r22,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,r38,,,,,r38,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,r39,,,,,r39,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,r40,,,,,r40,,,,,r40,r40,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,r41,,,,,r41,,,,,r41,r41,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,r42,,,,,r42,,,,,r42,r42,,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,s60,s61,,,,,s55,s56,s57,s58,s59,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,r33,,,,,r33,,,,,r33,r33,,r33,r33,r33,s62,,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,r35,,,,,r35,,,,,r35,r35,,r35,r35,r35,r35,,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,r36,,,,,r36,,,,,r36,r36,,r36,r36,r36,r36,,,,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,r37,,,,,r37,,,,,r37,r37,,r37,r37,r37,r37,,,,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,27,,,,,,,,,,,,,,,,,,
48,,,,,,,s66,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,
49,,r8,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,r13,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,r19,,,,,r19,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,r29,,,,,r29,,,,,,r29,,,s60,s61,,,,,s55,s56,s57,s58,s59,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,r30,,,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,s20,,,,,,,s6,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,19,,68,12,14,15,16,13,17,18,,,,,,,
55,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,69,42,43,,,
56,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,70,42,43,,,
57,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,71,42,43,,,
58,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,72,42,43,,,
59,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,73,42,43,,,
60,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,43,,,
61,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,43,,,
62,,s44,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,
63,,s20,,,,,,,s6,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,19,,77,12,14,15,16,13,17,18,,,,,,,
64,,,,,r5,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,r6,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,r9,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,r10,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,r26,,,,,r26,,,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,r43,,,,,r43,,,,,r43,r43,,r43,s60,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,r44,,,,,r44,,,,,r44,r44,,r44,s60,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,r45,,,,,r45,,,,,r45,r45,,r45,s60,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,r46,,,,,r46,,,,,r46,r46,,r46,s60,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,r47,,,,,r47,,,,,r47,r47,,r47,s60,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,r31,,,,,r31,,,,,r31,r31,,r31,r31,r31,s62,,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,r32,,,,,r32,,,,,r32,r32,,r32,r32,r32,s62,,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,r34,,,,,r34,,,,,r34,r34,,r34,r34,r34,r34,,,,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,r28,,,,,r28,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,s20,,,,,,,s6,,,s21,s22,s23,,,s24,,,,,,,,,,,,,,,,,,,,,19,,79,12,14,15,16,13,17,18,,,,,,,
79,,,,,r27,,,,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
